id      ,rooms ,area ,rent   ,street                        ,zip_code ,latitude          ,longitude
5230522 ,    1 ,  12 ,  3900 ,Vermundsgade                  ,    2100 ,55.7060314        ,12.552815
5241622 ,    1 ,  28 ,  7850 ,Finsensvej                    ,    2000 ,55.68118870000001 ,12.5186236
5241305 ,    3 ,  67 , 12900 ,Gertrude Steins Vej           ,    2300 ,55.6396737        ,12.582732
5239432 ,    2 ,  60 , 11700 ,Emma Gads Vej                 ,    2300 ,55.6349421        ,12.579119
5241478 ,    4 , 110 , 17900 ,Strandlodsvej                 ,    2300 ,55.6646124        ,12.6227027
5224887 ,    3 , 146 , 26000 ,Baldrianvej                   ,    2900 ,55.7372863        ,12.5382676
5127686 ,    3 ,  93 , 12382 ,Hannemanns Allé               ,    2300 ,55.626185         ,12.5762249
5241631 ,    1 ,  35 ,  6800 ,Kobbelvænget                  ,    2700 ,55.7112967        ,12.4806054
5237968 ,    4 ,  87 , 11900 ,Gyngemose Parkvej             ,    2860 ,55.72670060000001 ,12.4797398
5241260 ,    1 ,  45 ,  8300 ,Kobbelvænget                  ,    2700 ,55.7112967        ,12.4806054
5241443 ,    3 , 129 , 24000 ,Sundkaj                       ,    2150 ,55.71039210000001 ,12.596482
5241371 ,    2 ,  53 , 12100 ,Ejler Billes Allé             ,    2300 ,55.6220819        ,12.5737359
5117815 ,    1 ,  50 , 10500 ,Dronningens Tværgade          ,    1302 ,55.68411889999999 ,12.5853513
5224887 ,    3 , 146 , 26000 ,Baldrianvej                   ,    2900 ,55.7372863        ,12.5382676
5179341 ,    3 ,  89 , 13865 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
5234310 ,    2 ,  38 , 10600 ,Amerikavej                    ,    1756 ,55.6689619        ,12.5419543
5121282 ,    4 , 101 , 14747 ,Elstarvej                     ,    2500 ,55.6569091        ,12.5014271
5241405 ,    2 ,  53 , 11900 ,Ved Amagerbanen               ,    2300 ,55.6655304        ,12.6273305
5217948 ,    5 , 130 , 15650 ,Ørestads Boulevard            ,    2300 ,55.63508179999998 ,12.5811579
5241135 ,    2 ,  43 , 10250 ,Poppelstykket                 ,    2450 ,55.6515557        ,12.5119233
5207918 ,    2 ,  51 , 11800 ,Uplandsgade                   ,    2300 ,55.66663759999999 ,12.5992919
5239922 ,    3 , 100 , 15000 ,Martha Christensens Vej       ,    2300 ,55.63817479999999 ,12.5815966
5228606 ,    1 , 100 ,  6900 ,Niels Finsens Alle            ,    2860 ,55.7361432        ,12.5121082
5231637 ,    1 ,  14 ,  3900 ,ja                            ,    2200 ,55.6928897        ,12.547805
5231903 ,    1 ,  16 ,  5500 ,Gladsaxe Møllevej             ,    2860 ,55.742842         ,12.4717121
5218751 ,    2 ,  50 ,  9800 ,Mutzuvej                      ,    2500 ,55.65340459999998 ,12.5030933
5121279 ,    3 ,  79 , 12905 ,Ingrid Marievej               ,    2500 ,55.6567609        ,12.5037915
5231635 ,    1 ,  50 ,  9500 ,Azaleavej                     ,    2000 ,55.6711263        ,12.5171446
5239390 ,    3 ,  91 , 14000 ,Emma Gads Vej                 ,    2300 ,55.6378427        ,12.580475
4966924 ,    4 , 118 , 15300 ,Irmavej                       ,    2610 ,55.67698309999999 ,12.4362041
5237966 ,    4 , 118 , 15000 ,Islev Have                    ,    2610 ,55.70582719999999 ,12.4338754
5237968 ,    4 ,  87 , 11900 ,Gyngemose Parkvej             ,    2860 ,55.72670060000001 ,12.4797398
4889880 ,    3 , 100 , 15990 ,Tåsingegade                   ,    2100 ,55.7099805        ,12.5767607
5185769 ,    2 ,  70 , 11950 ,Michael Strunges Vej          ,    2300 ,55.6508754        ,12.5991891
5007481 ,    4 , 110 , 14341 ,Carl Jacobsens Vej            ,    2500 ,55.6529391        ,12.51822
5179339 ,    3 ,  65 , 12799 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
5112375 ,    2 ,  61 , 11721 ,Richard Mortensens Vej        ,    2300 ,55.6218405        ,12.5721728
5238501 ,    1 ,  32 ,  6350 ,Gyngemose Parkvej             ,    2860 ,55.7272197        ,12.4792895
5216831 ,    3 ,  92 , 13811 ,Frederikskaj                  ,    2450 ,55.64695039999999 ,12.5434465
5238047 ,    2 ,  54 , 12500 ,Trelleborggade                ,    2100 ,55.7066467        ,12.593854
5037820 ,    3 ,  79 , 12300 ,Halldor Laxness Vej           ,    2300 ,55.63593539999999 ,12.5806427
5179167 ,    4 , 107 , 14875 ,Glostervej                    ,    2500 ,55.6538587        ,12.5037334
5115245 ,    5 , 123 , 16705 ,Robert Jacobsens Vej          ,    2300 ,55.6217108        ,12.5729561
5225436 ,    1 ,  18 ,  4800 ,Bramslykkevej                 ,    2500 ,55.6718629        ,12.4886919
5205895 ,    3 , 106 , 14900 ,Oscar Pettifords Vej          ,    2450 ,55.64702399999998 ,12.555362
5007343 ,    1 ,  14 ,  5150 ,Rabarbervej                   ,    2400 ,55.69525160000001 ,12.5235729
4954929 ,    1 ,  13 ,  4920 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
4979629 ,    2 ,  65 , 10950 ,Else Alfelts Vej              ,    2300 ,55.6174184        ,12.5663495
4974061 ,    3 ,  73 ,  9200 ,Grønnemose Alle               ,    2860 ,55.7239129        ,12.5072853
5197159 ,    2 ,  65 , 12500 ,Bomhusvej                     ,    2100 ,55.72244          ,12.5577373
5215431 ,    6 , 291 , 68000 ,Norgesmindevej                ,    2900 ,55.7253689        ,12.5729608
5239919 ,    3 , 108 , 14300 ,Martha Christensens Vej       ,    2300 ,55.63817479999999 ,12.5815966
5205895 ,    3 , 106 , 14900 ,Oscar Pettifords Vej          ,    2450 ,55.64702399999998 ,12.555362
5015731 ,    5 , 112 , 16100 ,Else Alfelts Vej              ,    2300 ,55.6169586        ,12.5663611
4987836 ,    1 ,  42 ,  6189 ,Strandlodsvej                 ,    2300 ,55.667178         ,12.620381
5212657 ,    3 ,  70 , 12200 ,Nadine Gordimers Vej          ,    2300 ,55.63595669999999 ,12.5771978
5241626 ,    1 ,  31 ,  7600 ,Gammel Køge Landevej          ,    2500 ,55.6557474        ,12.5116058
5230512 ,    1 ,   8 ,  5000 ,Vesterbrogade                 ,    1620 ,55.6726375        ,12.5524931
5003287 ,    2 ,  68 , 11000 ,Vestre Teglgade               ,    2450 ,55.6551874        ,12.548544
5206496 ,    1 ,  55 ,  8800 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
5185286 ,    5 , 110 , 19995 ,Falkevej                      ,    2400 ,55.69877          ,12.5351779
5239213 ,    1 ,  32 , 11000 ,Store Kongensgade             ,    1264 ,55.686301         ,12.5895689
4900882 ,    1 ,  14 ,  5150 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
5131762 ,    2 ,  78 , 11000 ,Amagerbrogade                 ,    2300 ,55.6541904        ,12.6111424
5179335 ,    3 , 115 , 17791 ,Aurehøjvej                    ,    2900 ,55.7352126        ,12.5737343
5088657 ,    1 ,  32 ,  7334 ,Theklavej                     ,    2400 ,55.70550189999999 ,12.5271191
5234647 ,    1 ,  20 ,  3000 ,Ruten                         ,    2700 ,55.7172619        ,12.485402
5080325 ,    5 , 131 , 18400 ,Ved Stigbordene               ,    2450 ,55.644377         ,12.5488939
5236714 ,   10 , 501 , 90000 ,Søndermarksvej                ,    2500 ,55.665369         ,12.5251856
5145339 ,    3 ,  90 , 15900 ,Schleppegrellsgade            ,    2200 ,55.68987600000002 ,12.5643718
5011142 ,    1 ,  35 ,  7450 ,Lindgreens Allé               ,    2300 ,55.66751499999999 ,12.621765
5153026 ,    1 ,  38 ,  8607 ,Hans Knudsens Plads           ,    2100 ,55.713941         ,12.5599257
5241500 ,    4 , 100 , 16700 ,Strandlodsvej                 ,    2300 ,55.66649349999999 ,12.6245658
5241477 ,    3 , 111 , 17400 ,Strandlodsvej                 ,    2300 ,55.66649349999999 ,12.6245658
5241492 ,    4 ,  98 , 16900 ,Strandlodsvej                 ,    2300 ,55.6661972        ,12.6212558
5241490 ,    3 , 105 , 17100 ,Strandlodsvej                 ,    2300 ,55.6661972        ,12.6212558
5241495 ,    4 ,  95 , 16900 ,Strandlodsvej                 ,    2300 ,55.6661972        ,12.6212558
5241488 ,    4 , 105 , 17000 ,Strandlodsvej                 ,    2300 ,55.66649349999999 ,12.6245658
5241473 ,    4 , 110 , 17600 ,Strandlodsvej                 ,    2300 ,55.6646124        ,12.6227027
5241451 ,    5 , 138 , 22900 ,Strandlodsvej                 ,    2300 ,55.6646124        ,12.6227027
5241494 ,    4 , 106 , 16900 ,Strandlodsvej                 ,    2300 ,55.66649349999999 ,12.6245658
5241479 ,    4 , 132 , 17250 ,Strandlodsvej                 ,    2300 ,55.6646124        ,12.6227027
5241475 ,    3 ,  85 , 17800 ,Strandlodsvej                 ,    2300 ,55.6661972        ,12.6212558
5144890 ,    4 , 108 , 18000 ,Nygade                        ,    1164 ,55.678251         ,12.5736504
5216766 ,    1 ,  37 ,  5633 ,Frederikssundsvej             ,    2700 ,55.7077918        ,12.4853417
5216766 ,    1 ,  37 ,  5633 ,Frederikssundsvej             ,    2700 ,55.7077918        ,12.4853417
5189680 ,    2 ,  62 , 12097 ,Jane Addams Vej               ,    2450 ,55.6582265        ,12.5605041
5209661 ,    2 ,  90 , 15900 ,Ehlersvej                     ,    2900 ,55.7277955        ,12.5731408
5217951 ,    2 ,  63 , 11750 ,Doris Lessings Vej            ,    2300 ,55.63563660000002 ,12.5760295
5166742 ,    3 , 105 , 15000 ,George Marshalls Vej          ,    2450 ,55.65878          ,12.5626532
5197160 ,    4 , 107 , 18500 ,Mariendalsvej                 ,    2000 ,55.6909998        ,12.5318338
5239424 ,    2 ,  59 , 11700 ,Emma Gads Vej                 ,    2300 ,55.638214         ,12.58092
5226449 ,    1 ,   7 ,  3500 ,ja                            ,    2200 ,55.6928897        ,12.547805
5234829 ,    1 ,  38 , 10000 ,Hyacintgården                 ,    2300 ,55.649105         ,12.6119411
5179192 ,    5 , 134 , 18000 ,Else Alfelts Vej              ,    2300 ,55.619128         ,12.5686257
5113676 ,    1 ,   8 ,  4500 ,Jægersborggade                ,    2200 ,55.6923143        ,12.5442103
5231643 ,    3 ,  69 , 11900 ,Amager Landevej               ,    2770 ,55.6375574        ,12.6189139
5212091 ,    2 ,  56 , 10500 ,Roskildevej                   ,    2000 ,55.67151939999999 ,12.5221006
5211292 ,    2 ,  62 , 12400 ,A.C. Meyers Vænge             ,    2450 ,55.6519343        ,12.5424145
5231641 ,    1 ,   8 ,  4500 ,Ruten                         ,    2700 ,55.7188995        ,12.4928323
4921301 ,    1 ,  20 ,  6000 ,Sorgenfrigade                 ,    2200 ,55.6955019        ,12.5453297
5054949 ,    1 ,  35 ,  8618 ,Svend Trøsts Vej              ,    1912 ,55.67942499999998 ,12.5514368
5202620 ,    1 ,  40 ,  7000 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
5239954 ,    3 ,  64 , 12798 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
5241114 ,    4 , 131 , 17000 ,Hellerupvej                   ,    2900 ,55.7336863        ,12.5641413
5202620 ,    1 ,  40 ,  7000 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
5217944 ,    3 ,  92 , 14700 ,Artillerivej                  ,    2300 ,55.654295         ,12.5682112
5235549 ,    1 ,   9 ,  3000 ,ja                            ,    2000 ,55.681845         ,12.5179439
5064407 ,    3 , 108 , 14883 ,Peter Bangs Vej               ,    2000 ,55.678166         ,12.493615
5121297 ,    2 ,  86 , 15999 ,Nytorv                        ,    1450 ,55.6778296        ,12.5732055
4944336 ,    7 , 291 , 25500 ,H.C. Andersens Boulevard      ,    1553 ,55.6720313        ,12.5761123
5216958 ,    1 ,  40 ,  8100 ,Lærkevej                      ,    2400 ,55.7017902        ,12.5305111
5230517 ,    1 ,  20 ,  6000 ,Vester Voldgade               ,    1552 ,55.6750751        ,12.571788
5181590 ,    5 , 162 , 20235 ,Fiolstræde                    ,    1171 ,55.6816853        ,12.5722237
5184522 ,    3 ,  99 , 15700 ,Strandslodsvej                ,    2300 ,55.6652272        ,12.6242794
4856797 ,    6 , 231 , 31762 ,Nørre Voldgade                ,    1358 ,55.684228         ,12.5725079
5239203 ,    1 ,  29 ,  7300 ,Vanløse Allé                  ,    2720 ,55.6884627        ,12.4943031
