id,rooms,area,rent,norm_rent,latitude,longitude
5252436,2.0,75.0,13170,175.6,55.661812,12.569668
5272097,2.0,65.0,12200,187.69,55.636558,12.580429
5115245,5.0,123.0,16705,135.81,55.621711,12.572956
5112364,5.0,118.0,17907,151.75,55.621337,12.573197
5217948,5.0,130.0,15650,120.38,55.635082,12.581158
5275336,2.0,73.0,13000,178.08,55.705286,12.543816
4889880,3.0,100.0,15990,159.9,55.709981,12.576761
5249183,1.0,54.0,10000,185.19,55.689891,12.562905
5194819,2.0,58.0,11950,206.03,55.704081,12.588843
5249752,1.0,14.0,3900,278.57,55.69289,12.547805
5179335,3.0,115.0,17791,154.7,55.735213,12.573734
5153026,1.0,38.0,8607,226.5,55.713941,12.559926
5227236,5.0,309.0,65000,210.36,55.680716,12.602132
5249744,1.0,50.0,9500,190.0,55.671126,12.517145
4900882,1.0,14.0,5150,367.86,55.69618,12.524019
5088657,1.0,32.0,7334,229.19,55.705502,12.527119
4987836,1.0,42.0,6189,147.36,55.667178,12.620381
5273981,2.0,33.0,10400,315.15,55.681072,12.521405
5189680,2.0,62.0,12342,199.06,55.658226,12.560504
5274038,4.0,102.0,15100,148.04,55.617802,12.569192
5268156,2.0,51.0,10300,201.96,55.671519,12.522101
5275417,2.0,64.0,12100,189.06,55.700668,12.535284
5003287,2.0,68.0,11000,161.76,55.655187,12.548544
5212657,3.0,70.0,12200,174.29,55.635957,12.577198
5145339,3.0,90.0,15900,176.67,55.689876,12.564372
5242975,4.0,222.0,38200,172.07,55.680634,12.588782
5258513,1.0,15.0,3900,260.0,55.715922,12.535498
5249718,1.0,15.0,4200,280.0,55.640874,12.58963
5254796,1.0,16.0,5500,343.75,55.740413,12.473151
5197159,2.0,65.0,12500,192.31,55.72244,12.557737
5273993,2.0,51.0,10200,200.0,55.71046,12.484442
5242841,2.0,71.0,11950,168.31,55.682748,12.455784
5144890,4.0,108.0,18000,166.67,55.678251,12.57365
5011142,1.0,35.0,7450,212.86,55.667515,12.621765
5179167,4.0,107.0,14875,139.02,55.653859,12.503733
5263632,2.0,61.0,11500,188.52,55.634942,12.579119
5206496,1.0,55.0,8800,160.0,55.649554,12.551497
5185287,4.0,100.0,13800,138.0,55.626185,12.576225
5248806,4.0,164.0,21520,131.22,55.699561,12.577984
5080325,5.0,131.0,18400,140.46,55.644377,12.548894
5241118,5.0,152.0,27500,180.92,55.688113,12.515788
5254791,3.0,87.0,13760,158.16,55.706205,12.53494
5113676,1.0,8.0,4500,562.5,55.692314,12.54421
5247695,4.0,95.0,16016,168.59,55.664493,12.591439
5274015,2.0,48.0,10200,212.5,55.71046,12.484442
5054949,1.0,35.0,8618,246.23,55.679425,12.551437
5248133,1.0,43.0,6629,154.16,55.652406,12.5122
4921301,1.0,20.0,6000,300.0,55.695502,12.54533
5248781,3.0,78.0,16750,214.74,55.665578,12.533916
5200807,1.0,12.0,5500,458.33,55.701622,12.575685
5266835,3.0,76.0,15400,202.63,55.707014,12.573501
5064407,3.0,108.0,14883,137.81,55.678166,12.493615
5266715,2.0,81.0,14085,173.89,55.68704,12.548191
5248168,4.0,122.0,23000,188.52,55.636811,12.606093
5185286,5.0,110.0,19995,181.77,55.69877,12.535178
5261950,4.0,122.0,21000,172.13,55.687566,12.562154
5249722,1.0,20.0,3000,150.0,55.717262,12.485402
5213502,2.0,58.0,11100,191.38,55.634968,12.580811
5249747,1.0,12.0,3900,325.0,55.706031,12.552815
5246107,1.0,35.0,6650,190.0,55.695462,12.524558
5086675,2.0,56.0,10475,187.05,55.636709,12.582897
5239422,2.0,59.0,11700,198.31,55.638214,12.58092
5217944,3.0,92.0,14700,159.78,55.654295,12.568211
5270233,1.0,33.0,7950,240.91,55.679639,12.548044
5166742,3.0,105.0,15000,142.86,55.65878,12.562653
5270981,2.0,67.0,11630,173.58,55.660841,12.50309
5211309,3.0,83.0,14248,171.66,55.664493,12.591439
5158075,3.0,95.0,17950,188.95,55.658832,12.633643
4883005,3.0,111.0,17000,153.15,55.683567,12.581772
5252438,3.0,81.0,13225,163.27,55.656761,12.503792
5262324,1.0,31.0,10500,338.71,55.686301,12.589569
5241114,4.0,131.0,18500,141.22,55.733686,12.564141
5263645,4.0,166.0,27283,164.36,55.732739,12.561723
4960416,1.0,24.0,5999,249.96,55.6688,12.499741
5022489,1.0,15.0,7000,466.67,55.688385,12.508888
5105724,5.0,127.0,16650,131.1,55.705827,12.433875
