id,rooms,area,rent,norm_rent,latitude,longitude
5144890,4,108,18000,166.67,55.678251,12.57365
5011142,1,35,7450,212.86,55.667515,12.621765
5179167,4,107,14875,139.02,55.653859,12.503733
5263632,2,61,11500,188.52,55.634942,12.579119
5206496,1,55,8800,160.0,55.649554,12.551497
5185287,4,100,13800,138.0,55.626185,12.576225
5248806,4,164,21520,131.22,55.699561,12.577984
5080325,5,131,18400,140.46,55.644377,12.548894
5241118,5,152,27500,180.92,55.688113,12.515788
5254791,3,87,13760,158.16,55.706205,12.53494
5113676,1,8,4500,562.5,55.692314,12.54421
5247695,4,95,16016,168.59,55.664493,12.591439
5274015,2,48,10200,212.5,55.71046,12.484442
5054949,1,35,8618,246.23,55.679425,12.551437
5248133,1,43,6629,154.16,55.652406,12.5122
4921301,1,20,6000,300.0,55.695502,12.54533
5248781,3,78,16750,214.74,55.665578,12.533916
5200807,1,12,5500,458.33,55.701622,12.575685
5266835,3,76,15400,202.63,55.707014,12.573501
5064407,3,108,14883,137.81,55.678166,12.493615
5266715,2,81,14085,173.89,55.68704,12.548191
5248168,4,122,23000,188.52,55.636811,12.606093
5185286,5,110,19995,181.77,55.69877,12.535178
5261950,4,122,21000,172.13,55.687566,12.562154
5249722,1,20,3000,150.0,55.717262,12.485402
5213502,2,58,11100,191.38,55.634968,12.580811
5249747,1,12,3900,325.0,55.706031,12.552815
5246107,1,35,6650,190.0,55.695462,12.524558
5086675,2,56,10475,187.05,55.636709,12.582897
5239422,2,59,11700,198.31,55.638214,12.58092
5217944,3,92,14700,159.78,55.654295,12.568211
5270233,1,33,7950,240.91,55.679639,12.548044
5166742,3,105,15000,142.86,55.65878,12.562653
5270981,2,67,11630,173.58,55.660841,12.50309
5211309,3,83,14248,171.66,55.664493,12.591439
5158075,3,95,17950,188.95,55.658832,12.633643
4883005,3,111,17000,153.15,55.683567,12.581772
5252438,3,81,13225,163.27,55.656761,12.503792
5262324,1,31,10500,338.71,55.686301,12.589569
5241114,4,131,18500,141.22,55.733686,12.564141
5263645,4,166,27283,164.36,55.732739,12.561723
4960416,1,24,5999,249.96,55.6688,12.499741
5022489,1,15,7000,466.67,55.688385,12.508888
5105724,5,127,16650,131.1,55.705827,12.433875
5179192,5,134,18000,134.33,55.619128,12.568626
