,rooms,area,rent,street,zip_code,latitude,longitude,rent_norm
0,1,26,8650,Finsensvej                    ,2000,55.68118870000001,12.5186236,332.6923076923077
1,2,38,11800,Finsensvej                    ,2000,55.68118870000001,12.5186236,310.5263157894737
2,1,41,4492,Nordre Fasanvej               ,2000,55.69509790000001,12.5336087,109.5609756097561
3,1,41,4478,Robert Jacobsens Vej          ,2300,55.6187043,12.5731692,109.21951219512195
4,1,47,9600,Torvegade                     ,1400,55.671192,12.5933256,204.25531914893617
5,4,93,12900,Gadelandet                    ,2700,55.7115422,12.4809887,138.70967741935485
6,2,67,13800,Amager Strandvej              ,2300,55.66752320000002,12.6270359,205.97014925373134
7,3,81,13600,Bryrupvej                     ,2770,55.60972700000001,12.583102,167.90123456790124
8,1,29,7600,Poul Bundgaards Vej           ,2500,55.6591062,12.5100733,262.0689655172414
9,2,50,12000,Sortedam Dossering            ,2200,55.6916758,12.5681452,240.0
10,3,146,26000,Baldrianvej                   ,2900,55.7372863,12.5382676,178.08219178082192
11,1,24,8300,Finsensvej                    ,2000,55.68118870000001,12.5186236,345.8333333333333
12,3,70,9152,Mørkhøjvej                    ,2860,55.7208951,12.4736383,130.74285714285713
13,3,74,13400,Gertrude Steins Vej           ,2300,55.6397887,12.5820155,181.0810810810811
14,4,95,14000,Lundtoftegade                 ,2200,55.6974419,12.5386965,147.3684210526316
15,3,89,13936,Faste Batteri Vej             ,2300,55.6644927,12.5914391,156.58426966292134
16,1,8,4100,Rabarbervej                   ,2400,55.69546219999999,12.5245579,512.5
17,1,120,6000,richards mortensens vej       ,2300,55.6195677,12.5712203,50.0
18,3,95,11000,Ryesgade                      ,2100,55.6958546,12.5729945,115.78947368421052
19,3,69,9074,Mørkhøjvej                    ,2860,55.7210145,12.472446,131.5072463768116
20,1,84,4451,Tagensvej                     ,2200,55.7009972,12.5514212,52.98809523809524
21,1,50,10000,Azaleavej                     ,2000,55.6711263,12.5171446,200.0
22,3,80,12823,Elstarvej                     ,2500,55.6571606,12.5004714,160.2875
23,1,41,6386,Følager                       ,2500,55.6524055,12.5122003,155.7560975609756
24,2,61,9564,Peter Bangs Vej               ,2000,55.6780033,12.4961945,156.78688524590163
25,2,50,9000,Tudskærvej                    ,2720,55.6910911,12.4690772,180.0
26,1,40,7000,Støberigade                   ,2450,55.6495537,12.5514972,175.0
27,3,83,12450,Irmavej                       ,2610,55.6768504,12.4362196,150.0
28,4,87,11900,Gyngemose Parkvej             ,2860,55.72670060000001,12.4797398,136.7816091954023
29,5,219,26950,Vesterbrogade                 ,1620,55.6726375,12.5524931,123.05936073059361
30,4,134,17750,Moltkesvej                    ,2000,55.68669190000001,12.5112453,132.46268656716418
31,2,54,12700,Flaskehalsen                  ,1799,55.6648972,12.5360626,235.1851851851852
32,2,45,11900,Ane Katrines Vej              ,2000,55.69206490000001,12.5347517,264.44444444444446
33,1,35,7539,Hans Knudsens Plads           ,2100,55.713941,12.5599257,215.4
34,1,37,5122,Strandlodsvej                 ,2300,55.667178,12.620381,138.43243243243242
35,3,66,13000,Ny Adelgade                   ,1104,55.6813373,12.5833568,196.96969696969697
36,3,102,14035,Falkevej                      ,2400,55.69874799999998,12.53532,137.59803921568627
37,1,47,8366,Frederikssundsvej             ,2400,55.7012191,12.5357119,178.0
38,1,27,5590,Tobaksvejen                   ,2860,55.7410736,12.4858634,207.03703703703704
39,1,31,6136,Jorisvej                      ,2300,55.64632409999999,12.6358889,197.93548387096774
40,3,83,12267,Robert Jacobsens Vej          ,2300,55.6210635,12.5732027,147.79518072289156
41,2,66,11838,Ingrid Marievej               ,2500,55.6567609,12.5037915,179.36363636363637
42,3,84,12950,Dieselvej                     ,2450,55.6513877,12.5554596,154.16666666666666
43,4,107,14500,Halldór Laxness Vej           ,2300,55.6357535,12.5803116,135.51401869158877
44,3,91,12297,Robert Jacobsens Vej          ,2300,55.6178099,12.572924,135.13186813186815
45,2,58,11900,Gertrude Steins Vej           ,2300,55.6399152,12.5829647,205.17241379310346
46,5,110,19995,Falkevej                      ,2400,55.69877,12.5351779,181.77272727272728
47,2,86,12000,Mimers Plads                  ,2200,55.70026859999999,12.5457268,139.53488372093022
48,2,55,9900,Lyngbyvej                     ,2100,55.7118775,12.5603358,180.0
49,3,87,14600,Ben Websters Vej              ,2450,55.6465652,12.5520061,167.816091954023
50,2,58,11950,Marstalsgade                  ,2100,55.704081,12.588843,206.0344827586207
51,1,22,5200,Nørrebrogade                  ,2200,55.69325199999999,12.5509037,236.36363636363637
52,2,43,9400,Poppelstykket                 ,2450,55.6513066,12.5111867,218.6046511627907
53,4,96,13000,Hannemanns Allé               ,2300,55.626185,12.5762249,135.41666666666666
54,2,81,12870,Islands Brygge                ,2300,55.6618119,12.5696679,158.88888888888889
55,1,44,7490,Vanløse Allé                  ,2720,55.6915759,12.5023195,170.22727272727272
56,1,31,6136,Jorisvej                      ,2300,55.6458028,12.637553,197.93548387096774
57,1,31,7600,Gammel Køge Landevej          ,2500,55.6557474,12.5116058,245.16129032258064
58,2,56,10500,Roskildevej                   ,2000,55.67151939999999,12.5221006,187.5
59,2,62,12500,Nygårdsvej                    ,2100,55.71203,12.5714277,201.61290322580646
60,3,89,13865,Njalsgade                     ,2300,55.6630951,12.5935843,155.7865168539326
61,2,52,7354,Aggersvoldvej                 ,2700,55.6959589,12.5002814,141.42307692307693
62,4,107,14875,Glostervej                    ,2500,55.6538587,12.5037334,139.01869158878506
63,1,35,6650,Rabarbervej                   ,2400,55.69546219999999,12.5245579,190.0
64,1,43,6500,Støberigade                   ,2450,55.6495537,12.5514972,151.1627906976744
65,3,93,12382,Hannemanns Allé               ,2300,55.626185,12.5762249,133.13978494623655
66,3,99,15700,Strandslodsvej                ,2300,55.6652272,12.6242794,158.58585858585857
67,1,29,7300,Vanløse Allé                  ,2720,55.6884627,12.4943031,251.72413793103448
68,1,29,7400,Vanløse Allé                  ,2720,55.6884627,12.4943031,255.17241379310346
69,3,80,13600,Bryrupvej                     ,2770,55.60972700000001,12.583102,170.0
70,1,15,4300,Ceresvej                      ,1863,55.6792944,12.5368945,286.6666666666667
71,5,118,17907,Richard Mortensens Vej        ,2300,55.62133720000001,12.5731971,151.75423728813558
72,2,71,12800,Bomhusvej                     ,2100,55.72244,12.5577373,180.28169014084506
73,1,50,10500,Dronningens Tværgade          ,1302,55.68411889999999,12.5853513,210.0
74,4,101,14747,Elstarvej                     ,2500,55.6569091,12.5014271,146.009900990099
75,1,43,10800,Else Alfelts Vej              ,2300,55.6168704,12.5660394,251.1627906976744
76,2,52,12000,Nordre Fasanvej st.           ,2000,55.6884101,12.5280722,230.76923076923077
77,1,30,8750,Refshalevej                   ,1432,55.68940199999999,12.616046,291.6666666666667
78,1,55,8800,Støberigade                   ,2450,55.6495537,12.5514972,160.0
79,3,115,17791,Aurehøjvej                    ,2900,55.7352126,12.5737343,154.70434782608694
80,2,56,11200,Borgmester Christiansens Gade ,2450,55.6482025,12.5374024,200.0
81,3,61,10000,Veras Allé                    ,2720,55.6880961,12.4843965,163.9344262295082
82,1,12,3900,Vestervoldgade                ,1552,55.6783799,12.5666644,325.0
83,4,118,15300,Irmavej                       ,2610,55.67698309999999,12.4362041,129.66101694915255
84,3,96,15376,Flintholm Allé                ,2000,55.684584,12.5008044,160.16666666666666
85,1,40,7350,Kobbelvænget                  ,2700,55.7112967,12.4806054,183.75
86,3,100,15990,Tåsingegade                   ,2100,55.7099805,12.5767607,159.9
87,1,16,3600,Prinsessegade                 ,1422,55.6734269,12.5960418,225.0
88,2,64,11800,Emma Gads Vej                 ,2300,55.6381171,12.5807981,184.375
89,2,64,11950,Halldór Laxness Vej           ,2300,55.6375982,12.5815314,186.71875
90,2,43,9500,Poppelstykket                 ,2450,55.6515557,12.5119233,220.93023255813952
91,1,42,6394,Frederikssundsvej             ,2700,55.7077918,12.4853417,152.23809523809524
92,5,123,16705,Robert Jacobsens Vej          ,2300,55.6217108,12.5729561,135.8130081300813
93,4,110,14341,Carl Jacobsens Vej            ,2500,55.6529391,12.51822,130.37272727272727
94,2,85,18500,Tøndergade                    ,1752,55.6703746,12.5435301,217.64705882352942
95,3,79,12300,Halldor Laxness Vej           ,2300,55.63593539999999,12.5806427,155.69620253164558
96,2,65,10950,Else Alfelts Vej              ,2300,55.6174184,12.5663495,168.46153846153845
97,5,112,16100,Else Alfelts Vej              ,2300,55.6169586,12.5663611,143.75
98,1,14,5150,Rabarbervej                   ,2400,55.69525160000001,12.5235729,367.85714285714283
99,3,79,12905,Ingrid Marievej               ,2500,55.6567609,12.5037915,163.35443037974684
100,1,15,3900,Bjergvænget                   ,2400,55.715922,12.5354978,260.0
101,1,50,8000,Elstarvej                     ,2500,55.6558982,12.5034846,160.0
102,3,73,9200,Grønnemose Alle               ,2860,55.7239129,12.5072853,126.02739726027397
103,1,49,8950,Nordens Plads                 ,2000,55.6710648,12.5013937,182.6530612244898
104,1,13,4920,Rabarbervej                   ,2400,55.6961805,12.5240192,378.46153846153845
105,2,70,11950,Michael Strunges Vej          ,2300,55.6508754,12.5991891,170.71428571428572
106,1,20,6000,Vester Voldgade               ,1552,55.6750751,12.571788,300.0
107,2,53,9450,Gadelandet                    ,2700,55.7112397,12.4802508,178.30188679245282
108,1,42,6189,Strandlodsvej                 ,2300,55.667178,12.620381,147.35714285714286
109,5,131,18400,Ved Stigbordene               ,2450,55.644377,12.5488939,140.45801526717557
110,3,52,12395,Faste Batteri Vej             ,2300,55.66450469999998,12.5912948,238.3653846153846
