id, rooms, area, rent, street, zip_code, latitude, longitude
4974061,3,73,9200,Grønnemose Alle,2860,55.7239129,12.5072853
5246108,1,35,6650,Rabarbervej,2400,55.69546219999999,12.5245579
4987836,1,42,6189,Strandlodsvej,2300,55.667178,12.620381
5179339,3,65,12799,Njalsgade,2300,55.6630951,12.5935843
5242841,2,71,11950,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5003287,2,68,11000,Vestre Teglgade,2450,55.6551874,12.548544
5224887,3,146,26000,Baldrianvej,2900,55.7372863,12.5382676
5015731,5,112,16100,Else Alfelts Vej,2300,55.6169586,12.5663611
5249755,2,55,14000,Bjelkes Allé,2200,55.6920256,12.5457104
5179167,4,107,14875,Glostervej,2500,55.6538587,12.5037334
5249731,1,100,6900,Niels Finsens Alle,2860,55.7361432,12.5121082
5239422,2,59,11700,Emma Gads Vej,2300,55.638214,12.58092
5179335,3,115,17791,Aurehøjvej,2900,55.7352126,12.5737343
5145339,3,90,15900,Schleppegrellsgade,2200,55.68987600000002,12.5643718
5249752,1,14,3900,ja,2200,55.6928897,12.547805
5189680,2,62,12097,Jane Addams Vej,2450,55.6582265,12.5605041
5088657,1,32,7334,Theklavej,2400,55.70550189999999,12.5271191
5205895,3,106,14900,Oscar Pettifords Vej,2450,55.64702399999998,12.555362
5131762,2,78,11000,Amagerbrogade,2300,55.6541904,12.6111424
5234310,2,38,10600,Amerikavej,1756,55.6689619,12.5419543
4900882,1,14,5150,Rabarbervej,2400,55.6961805,12.5240192
5197159,2,65,12500,Bomhusvej,2100,55.72244,12.5577373
5212657,3,70,12200,Nadine Gordimers Vej,2300,55.63595669999999,12.5771978
5249183,1,54,10000,Sankt Hans Gade,2200,55.6898911,12.5629053
5239422,2,59,11700,Emma Gads Vej,2300,55.638214,12.58092
5153026,1,38,8607,Hans Knudsens Plads,2100,55.713941,12.5599257
5227236,5,309,65000,Galionsvej,1437,55.680716,12.6021319
5249718,1,15,4200,kongelundsvej,2300,55.64087439999999,12.5896302
5011142,1,35,7450,Lindgreens Allé,2300,55.66751499999999,12.621765
5080325,5,131,18400,Ved Stigbordene,2450,55.644377,12.5488939
5249731,1,100,6900,Niels Finsens Alle,2860,55.7361432,12.5121082
5185287,4,100,13800,Hannemanns Allé,2300,55.626185,12.5762249
5185286,5,110,19995,Falkevej,2400,55.69877,12.5351779
5211309,3,83,14248,Faste Batteri Vej,2300,55.6644927,12.5914391
5248168,4,122,23000,Snorrebakken,2770,55.6368108,12.6060931
