Sagsnr,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude
1770008343177009,2022-05-19,1,35.0,7550,647.0,"Poppelstykket 8, 2. 272, 2450 København SV",2450,55.65174886,12.51134881
1770008372177009,2022-04-21,2,122.0,21400,526.0,"Bryghuspladsen 8, 5. 502, 1473 København K",1473,55.67210396,12.57891196
1770007738177009,2023-03-15,2,29.0,10600,1097.0,"Finsensvej 15, st. 9, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770007801177009,2023-03-15,2,29.0,10700,1107.0,"Finsensvej 15, st. 10, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770007766177009,2022-08-12,2,37.0,10950,888.0,"Lindevangs Alle 14A, st. th, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770007772177009,2023-03-15,2,29.0,10750,1112.0,"Lindevangs Alle 14A, st. tv, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008206177009,2022-04-26,1,26.0,7650,883.0,"Finsensvej 15, 4. 408, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008207177009,2022-05-05,1,26.0,7650,883.0,"Finsensvej 15, 4. 409, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008208177009,2022-06-02,1,26.0,7650,883.0,"Finsensvej 15, 4. 410, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008209177009,2022-05-25,1,26.0,7650,883.0,"Finsensvej 15, 4. 411, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008210177009,2022-05-05,1,26.0,7650,883.0,"Finsensvej 15, 4. 412, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008055177009,2022-07-13,2,33.0,10800,982.0,"Finsensvej 15, 4. 414, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008233177009,2023-03-16,2,38.0,11800,932.0,"Finsensvej 15, 5. 501, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008236177009,2022-04-11,1,25.0,7900,948.0,"Finsensvej 15, 5. 502, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008240177009,2022-04-25,1,26.0,7950,917.0,"Finsensvej 15, 5. 504, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008242177009,2022-08-12,1,24.0,7950,994.0,"Finsensvej 15, 5. 505, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008246177009,2022-09-23,1,24.0,7900,988.0,"Finsensvej 15, 5. 506, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008248177009,2022-04-20,1,25.0,7900,948.0,"Finsensvej 15, 5. 507, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008251177009,2022-05-25,1,26.0,7900,912.0,"Finsensvej 15, 5. 508, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008252177009,2023-03-16,2,31.0,10900,1055.0,"Finsensvej 15, 5. 509, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008235177009,2022-06-02,1,25.0,7900,948.0,"Finsensvej 15, 5. 510, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008245177009,2022-04-20,1,26.0,7900,912.0,"Finsensvej 15, 5. 513, 2000 Frederiksberg",2000,55.68076211,12.51831613
