rooms ,area ,rent  ,street                        ,zip_code ,latitude          ,longitude
    1 ,  29 , 7300 ,Vanløse Allé                  ,    2720 ,55.6884627        ,12.4943031
    1 ,  29 , 7400 ,Vanløse Allé                  ,    2720 ,55.6884627        ,12.4943031
    3 ,  80 ,13600 ,Bryrupvej                     ,    2770 ,55.60972700000001 ,12.583102
    1 ,  15 , 4300 ,Ceresvej                      ,    1863 ,55.6792944        ,12.5368945
    5 , 118 ,17907 ,Richard Mortensens Vej        ,    2300 ,55.62133720000001 ,12.5731971
    2 ,  71 ,12800 ,Bomhusvej                     ,    2100 ,55.72244          ,12.5577373
    1 ,  50 ,10500 ,Dronningens Tværgade          ,    1302 ,55.68411889999999 ,12.5853513
    4 , 101 ,14747 ,Elstarvej                     ,    2500 ,55.6569091        ,12.5014271
    1 ,  43 ,10800 ,Else Alfelts Vej              ,    2300 ,55.6168704        ,12.5660394
    2 ,  52 ,12000 ,Nordre Fasanvej st.           ,    2000 ,55.6884101        ,12.5280722
    1 ,  30 , 8750 ,Refshalevej                   ,    1432 ,55.68940199999999 ,12.616046
    1 ,  55 , 8800 ,Støberigade                   ,    2450 ,55.6495537        ,12.5514972
    3 , 115 ,17791 ,Aurehøjvej                    ,    2900 ,55.7352126        ,12.5737343
    2 ,  56 ,11200 ,Borgmester Christiansens Gade ,    2450 ,55.6482025        ,12.5374024
    3 ,  61 ,10000 ,Veras Allé                    ,    2720 ,55.6880961        ,12.4843965
    1 ,  12 , 3900 ,Vestervoldgade                ,    1552 ,55.6783799        ,12.5666644
    4 , 118 ,15300 ,Irmavej                       ,    2610 ,55.67698309999999 ,12.4362041
    3 ,  96 ,15376 ,Flintholm Allé                ,    2000 ,55.684584         ,12.5008044
    1 ,  40 , 7350 ,Kobbelvænget                  ,    2700 ,55.7112967        ,12.4806054
    3 , 100 ,15990 ,Tåsingegade                   ,    2100 ,55.7099805        ,12.5767607
    1 ,  16 , 3600 ,Prinsessegade                 ,    1422 ,55.6734269        ,12.5960418
    2 ,  64 ,11800 ,Emma Gads Vej                 ,    2300 ,55.6381171        ,12.5807981
    2 ,  64 ,11950 ,Halldór Laxness Vej           ,    2300 ,55.6375982        ,12.5815314
    2 ,  43 , 9500 ,Poppelstykket                 ,    2450 ,55.6515557        ,12.5119233
    1 ,  42 , 6394 ,Frederikssundsvej             ,    2700 ,55.7077918        ,12.4853417
    5 , 123 ,16705 ,Robert Jacobsens Vej          ,    2300 ,55.6217108        ,12.5729561
    4 , 110 ,14341 ,Carl Jacobsens Vej            ,    2500 ,55.6529391        ,12.51822
    2 ,  85 ,18500 ,Tøndergade                    ,    1752 ,55.6703746        ,12.5435301
    3 ,  79 ,12300 ,Halldor Laxness Vej           ,    2300 ,55.63593539999999 ,12.5806427
    2 ,  65 ,10950 ,Else Alfelts Vej              ,    2300 ,55.6174184        ,12.5663495
    5 , 112 ,16100 ,Else Alfelts Vej              ,    2300 ,55.6169586        ,12.5663611
    1 ,  14 , 5150 ,Rabarbervej                   ,    2400 ,55.69525160000001 ,12.5235729
    3 ,  79 ,12905 ,Ingrid Marievej               ,    2500 ,55.6567609        ,12.5037915
    1 ,  15 , 3900 ,Bjergvænget                   ,    2400 ,55.715922         ,12.5354978
    1 ,  50 , 8000 ,Elstarvej                     ,    2500 ,55.6558982        ,12.5034846
    3 ,  73 , 9200 ,Grønnemose Alle               ,    2860 ,55.7239129        ,12.5072853
    1 ,  49 , 8950 ,Nordens Plads                 ,    2000 ,55.6710648        ,12.5013937
    1 ,  13 , 4920 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
    2 ,  70 ,11950 ,Michael Strunges Vej          ,    2300 ,55.6508754        ,12.5991891
    1 ,  20 , 6000 ,Vester Voldgade               ,    1552 ,55.6750751        ,12.571788
    2 ,  53 , 9450 ,Gadelandet                    ,    2700 ,55.7112397        ,12.4802508
    1 ,  42 , 6189 ,Strandlodsvej                 ,    2300 ,55.667178         ,12.620381
    5 , 131 ,18400 ,Ved Stigbordene               ,    2450 ,55.644377         ,12.5488939
    3 ,  52 ,12395 ,Faste Batteri Vej             ,    2300 ,55.66450469999998 ,12.5912948
    2 ,  65 ,11438 ,Elstarvej                     ,    2500 ,55.657137         ,12.5004565
    1 ,  39 , 9900 ,Gl. Kongevej                  ,    1850 ,55.6771559        ,12.5377572
    5 , 140 ,21500 ,Nørrebrogade                  ,    2200 ,55.6948854        ,12.5483318
    2 ,  68 ,11000 ,Vestre Teglgade               ,    2450 ,55.6551874        ,12.548544
    2 ,  86 ,15999 ,Nytorv                        ,    1450 ,55.6778296        ,12.5732055
    1 ,  14 , 5150 ,Rabarbervej                   ,    2400 ,55.6961805        ,12.5240192
    1 ,  35 , 8618 ,Svend Trøsts Vej              ,    1912 ,55.67942499999998 ,12.5514368
    4 , 108 ,18000 ,Nygade                        ,    1164 ,55.678251         ,12.5736504
    7 , 158 ,23000 ,Bækkeskovvej                  ,    2700 ,55.7028949        ,12.4934616
    2 ,  78 ,11000 ,Amagerbrogade                 ,    2300 ,55.6541904        ,12.6111424
    1 ,  29 , 7400 ,Vanløse Allé                  ,    2720 ,55.6884627        ,12.4943031
    1 ,  12 , 3900 ,Vermundsgade                  ,    2100 ,55.7060314        ,12.552815
    4 , 102 ,16224 ,Faste Batteri Vej             ,    2300 ,55.6644927        ,12.5914391
    3 ,  65 ,13118 ,Njalsgade                     ,    2300 ,55.6630951        ,12.5935843
    1 ,  21 , 5000 ,ja                            ,    2500 ,55.6658351        ,12.5096978
    2 ,  77 ,12200 ,Clara Pontoppidans Vej        ,    2500 ,55.65814169999999 ,12.5118759
    1 ,  35 , 7450 ,Lindgreens Allé               ,    2300 ,55.66751499999999 ,12.621765
    4 , 107 ,18500 ,Mariendalsvej                 ,    2000 ,55.6909998        ,12.5318338
    2 ,  65 ,12500 ,Bomhusvej                     ,    2100 ,55.72244          ,12.5577373
    5 , 162 ,20235 ,Fiolstræde                    ,    1171 ,55.6816853        ,12.5722237
    2 , 115 ,18820 ,Islands Brygge                ,    2300 ,55.6618119        ,12.5696679
    3 ,  96 ,14975 ,Theodore Roosevelts Vej       ,    2450 ,55.6490514        ,12.5352729
    1 ,  40 , 8200 ,Peder Lykkes Vej              ,    2300 ,55.65372190000001 ,12.6031793
