,id,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude,rent_norm
34,10-X00017763426001,2022-10-15,5.0,120.0,15400,385.0,"Else Alfelts Vej 35, 2. 4, 2300 København S",2300,55.62087245,12.56942312,128.33333333333334
35,199500004431995004,2022-05-18,3.0,87.0,16000,552.0,"Amager Strandvej 112G, 4. tv, 2300 København S",2300,55.66021754,12.63253298,183.90804597701148
36,1770008341177009,2022-05-19,1.0,35.0,7600,651.0,"Poppelstykket 6, 3. 324, 2450 København SV",2450,55.6512869,12.51149568,217.14285714285714
37,1770008344177009,2022-04-10,1.0,35.0,7600,651.0,"Poppelstykket 6, 3. 310, 2450 København SV",2450,55.6512869,12.51149568,217.14285714285714
38,1770006729177009,2022-05-04,1.0,46.0,9500,620.0,"Poul Bundgaards Vej 5, st. 1, 2500 Valby",2500,55.65926836,12.51011501,206.52173913043478
39,1770006758177009,2022-04-21,1.0,45.0,10900,727.0,"Poul Bundgaards Vej 5, 5. 121, 2500 Valby",2500,55.65926836,12.51011501,242.22222222222223
40,1770008343177009,2022-05-19,1.0,35.0,7550,647.0,"Poppelstykket 8, 2. 272, 2450 København SV",2450,55.65174886,12.51134881,215.71428571428572
41,1770008372177009,2022-04-21,2.0,122.0,21400,526.0,"Bryghuspladsen 8, 5. 502, 1473 København K",1473,55.67210396,12.57891196,175.40983606557376
42,1770007738177009,2023-03-15,2.0,29.0,10600,1097.0,"Finsensvej 15, st. 9, 2000 Frederiksberg",2000,55.68076211,12.51831613,365.51724137931035
43,1770007801177009,2023-03-15,2.0,29.0,10700,1107.0,"Finsensvej 15, st. 10, 2000 Frederiksberg",2000,55.68076211,12.51831613,368.9655172413793
44,1770007766177009,2022-08-12,2.0,37.0,10950,888.0,"Lindevangs Alle 14A, st. th, 2000 Frederiksberg",2000,55.68076211,12.51831613,295.94594594594594
