,id,rooms,area,rent,latitude,longitude,rent_norm
92,5112375,2,61,11721,55.62184,12.572173,192.14754098360655
93,4979629,2,65,10950,55.617418,12.566349,168.46153846153845
94,5273961,2,52,11200,55.667881,12.516962,215.3846153846154
95,4954929,1,13,4920,55.69618,12.524019,378.46153846153845
96,5252436,2,75,13170,55.661812,12.569668,175.6
97,5272097,2,65,12200,55.636558,12.580429,187.69230769230768
98,5115245,5,123,16705,55.621711,12.572956,135.8130081300813
99,5112364,5,118,17907,55.621337,12.573197,151.75423728813558
100,5217948,5,130,15650,55.635082,12.581158,120.38461538461539
101,5275336,2,73,13000,55.705286,12.543816,178.08219178082192
102,4889880,3,100,15990,55.709981,12.576761,159.9
103,5249183,1,54,10000,55.689891,12.562905,185.1851851851852
104,5194819,2,58,11950,55.704081,12.588843,206.0344827586207
105,5249752,1,14,3900,55.69289,12.547805,278.57142857142856
106,5179335,3,115,17791,55.735213,12.573734,154.70434782608694
107,5153026,1,38,8607,55.713941,12.559926,226.5
108,5227236,5,309,65000,55.680716,12.602132,210.3559870550162
109,5249744,1,50,9500,55.671126,12.517145,190.0
110,5252859,6,387,57000,55.693109,12.585929,147.28682170542635
111,4900882,1,14,5150,55.69618,12.524019,367.85714285714283
112,5088657,1,32,7334,55.705502,12.527119,229.1875
113,4987836,1,42,6189,55.667178,12.620381,147.35714285714286
114,5273981,2,33,10400,55.681072,12.521405,315.1515151515151
115,5189680,2,62,12342,55.658226,12.560504,199.06451612903226
116,5274038,4,102,15100,55.617802,12.569192,148.0392156862745
117,5268156,2,51,10300,55.671519,12.522101,201.9607843137255
118,5275417,2,64,12100,55.700668,12.535284,189.0625
119,5003287,2,68,11000,55.655187,12.548544,161.76470588235293
120,5212657,3,70,12200,55.635957,12.577198,174.28571428571428
121,5145339,3,90,15900,55.689876,12.564372,176.66666666666666
122,5242975,4,222,38200,55.680634,12.588782,172.07207207207207
123,5258513,1,15,3900,55.715922,12.535498,260.0
124,5249718,1,15,4200,55.640874,12.58963,280.0
125,5254796,1,16,5500,55.740413,12.473151,343.75
126,5197159,2,65,12500,55.72244,12.557737,192.30769230769232
